year,type,region,AveragePrice,Total Volume,4046,4225,4770
2015,conventional,Albany,1.171923076923077,76208.73423076923,1037.8746153846157,61764.25365384615,668.7950000000001
2015,conventional,Atlanta,1.0523076923076924,440346.4440384616,347741.8403846153,35386.637307692305,757.858076923077
2015,conventional,BaltimoreWashington,1.168076923076923,768141.4892307692,56546.03076923077,487421.3653846154,45104.81942307692
2015,conventional,Boise,1.0540384615384617,70885.75288461539,45940.4425,10164.187115384617,5309.087692307692
2015,conventional,Boston,1.1440384615384616,523780.6121153846,4685.945192307692,409901.28269230766,1607.198846153846
2015,conventional,BuffaloRochester,1.4034615384615383,110427.34134615384,1531.4792307692308,50202.76480769231,677.1371153846153
2015,conventional,California,1.0203846153846154,5681497.563653846,2746985.949423077,2033881.734807692,201237.835
2015,conventional,Charlotte,1.1484615384615384,178671.76346153844,34065.78096153846,50369.83730769231,41124.95634615385
2015,conventional,Chicago,1.153653846153846,775415.5417307692,34668.502499999995,543123.0925,109427.37846153844
2015,conventional,CincinnatiDayton,0.9771153846153846,213698.5698076923,4480.089038461539,143178.83038461537,9176.879423076924
2015,conventional,Columbus,1.008076923076923,145869.60057692308,70389.53384615385,33184.775,17870.39769230769
2015,conventional,DallasFtWorth,0.7819230769230769,1148088.7059615385,674659.4180769231,341507.52980769234,20411.09365384616
2015,conventional,Denver,1.0486538461538462,717389.5984615384,135626.49846153846,409785.0244230769,14312.87
2015,conventional,Detroit,1.047115384615385,337210.81865384616,125488.1621153846,61882.52403846154,77304.45057692307
2015,conventional,GrandRapids,1.0869230769230769,185731.8551923077,3608.1569230769232,115874.2676923077,11553.361923076922
2015,conventional,GreatLakes,1.0776923076923075,3178390.630192308,478490.4086538461,1727553.8267307691,332361.6080769231
2015,conventional,HarrisburgScranton,1.1457692307692309,220872.86384615384,35387.56769230769,119536.64365384614,680.4517307692307
2015,conventional,HartfordSpringfield,1.2428846153846154,288086.60807692306,4437.028076923077,222261.0323076923,1376.1790384615383
2015,conventional,Houston,0.7925,1054307.7798076922,526302.2438461538,387517.70192307694,19568.161346153847
2015,conventional,Indianapolis,1.1046153846153846,155434.91211538462,6664.792307692308,95728.0548076923,11279.357307692308
2015,conventional,Jacksonville,1.1209615384615383,135912.63307692308,89046.79711538462,13963.968269230769,761.5980769230769
2015,conventional,LasVegas,0.9671153846153846,291546.81153846154,123645.46423076924,113407.42865384616,6289.257884615384
2015,conventional,LosAngeles,0.8959615384615385,2805917.5280769235,1718248.8109615385,615257.5344230769,73707.97423076924
2015,conventional,Louisville,1.0432692307692308,80714.39192307692,2705.2023076923074,51772.973269230766,3220.488076923077
2015,conventional,MiamiFtLauderdale,1.1411538461538462,482173.7009615385,337204.8357692308,55137.2273076923,350.26576923076925
2015,conventional,Midsouth,1.119615384615385,2628945.391923077,586551.9313461538,1226647.0896153846,204543.47480769228
2015,conventional,Nashville,1.0101923076923076,160843.09557692308,103413.68423076924,14937.177692307692,9873.16826923077
