0.843,0.936,0.491,0.042,0.850,0.460,0.003,0.564,0.921,0.536
0.448,0.127,0.247,0.968,0.075,0.187,0.849,0.182,0.637,0.039
0.575,0.364,0.386,0.409,0.530,0.693,0.146,0.713,0.649,0.101
0.093,0.024,0.424,0.627,0.538,0.937,0.468,0.673,0.769,0.964
0.399,0.778,0.321,0.054,0.676,0.207,0.407,0.513,0.307,0.718
0.588,0.399,0.457,0.322,0.012,0.207,0.418,0.594,0.791,0.507
0.604,0.962,0.325,0.725,0.887,0.046,0.718,0.339,0.479,0.366
0.495,0.245,0.448,0.953,0.632,0.134,0.235,0.565,0.578,0.194
0.816,0.342,0.287,0.642,0.581,0.648,0.441,0.681,0.921,0.419
0.612,0.419,0.261,0.659,0.862,0.318,0.654,0.453,0.097,0.195
