ANO,NM_DIRETORIA,NM_MUNICIPIO,CD_REDE_ENSINO,CD_ESCOLA,NM_COMPLETO_ESCOLA,CD_TP_IDENTIFICADOR,APR_1,REP_1,ABA_1,APR_2,REP_2,ABA_2,APR_3,REP_3,ABA_3
2019,BARRETOS,BARRETOS,1,22445,AYMORE DO BRASIL PROFESSOR,8,0.0000,0.0000,0.0000,99.6700,0.3300,0.0000,0.0000,0.0000,0.0000
2019,BARRETOS,BARRETOS,1,22457,MACEDO SOARES EMBAIXADOR,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
2019,BARRETOS,BARRETOS,1,22469,ANTONIO OLYMPIO DOUTOR,8,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,100.0000,0.0000,0.0000
2019,BARRETOS,BARRETOS,1,36894,VALOIS SCORTECCI,8,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2019,BARRETOS,BARRETOS,1,579889,MARIA HELENA SCANNAVINO,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
2019,BARRETOS,BARRETOS,1,907736,FABIO JUNQUEIRA FRANCO,8,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,99.7100,0.0000,0.2900
2019,BARRETOS,BARRETOS,1,907741,LACY BONILHA DE SOUZA PROFESSORA,8,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,97.7800,2.2200,0.0000
2019,BARRETOS,COLINA,1,48012,DARCY SILVEIRA VAZ PROFESSOR,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
2019,BARRETOS,COLOMBIA,1,22342,ALICE FONTOURA DE ARAUJO DONA,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.3300,2.6700,0.0000
2019,BARRETOS,GUAIRA,1,22238,ENOCH GARCIA LEAL,8,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,98.9800,1.0200,0.0000
